stage	mechanism	source_file	source_rows	observable_without_intervention	perturbs_stream	predictions
packet-recording	RawGifPacket->gif_transfer accumulates path+render-pass state, counters only	ps2_gs_parallel_backend.cpp	275-283	packet-entry bytes+FNV at processGIFPacket head / RawGifPacket entry (A1 null control only)	no (logging at entry)	"A1 equality: same bytes entered both backends. Says nothing about execution."
command-submission	flush()->mark_submission_timeline->renderer.flush_submit; live Flush() is no-op so full submit waits for Present/vsync/map; BUT mid-stream render-pass cuts exist (pressure/overflow/hazard)	gs_renderer.cpp / gs_interface.cpp / page_tracker.cpp	check_flush_stats:879-909 thresholds 4096prims/1024passes/100MBscratch; post_draw_kick_handler Overflow caps; handle_tex0_write + post_draw_kick_handler consume pressure flag; whether packet5470 trips one is runtime-only	forcing a flush at 5470 cuts the render pass early; added probes also move pressure/overflow cut points: yes	"Submit boundary is not per-packet; render-pass cuts can fall mid-stream under pressure. A forced flush still changes batching under test."
marker260-first	bounded same-tick259 comparison at first post-packet marker	capture scan + ps2_gs_replay_tests.cpp	"marker260 offset 6702775 packets-seen 5592: 121 intervening packets, 0 interleaved non-packet records; dumpTick arbitrary list; GB4_FRAME+Present run for named ticks independent of STEP"	no (at marker boundary)	"121-packet confounder, same tick, no priv/transfer interleave. Recommend before 300/301."
gpu-completion	Present: flush+vsync+copy+submit+wait_idle; map_vram_read: flush_submit+wait_timeline	ps2_gs_parallel_backend.cpp / gs_interface.cpp	ps2_gs_parallel_backend.cpp:153-190; gs_interface.cpp:5126-5151	none (completion only visible via a read that itself syncs)	wait_idle / wait_timeline syncs GPU earlier than unobserved stream: yes	"No completion signal exists at batch10 without a synchronizing read."
host-readback-Present	scanout copy_image_to_buffer + CachedHost map	ps2_gs_parallel_backend.cpp	174-195	GB4_FRAME Present hash at marker300/301 (post-marker: legal, non-intervening)	no (at marker boundary)	"Marker hash equality narrows to prefix; mismatch cannot name packet5470 (5001-packet confounder)."
host-readback-VRAM	SnapshotVram: flush()+map_vram_read(0,4MiB)+memcpy	ps2_gs_parallel_backend.cpp	245-264	cropped FBP112 + words at 0x0019ae38 / 0x000bae74 at marker300/301	no (at marker boundary)	"Same as Present row: stage-narrowing only."
host-readback-local2host	ConsumeLocalToHostBytes->read_transfer_fifo	ps2_gs_parallel_backend.cpp	223-232	transfer FIFO bytes at marker	depends on call site	"Control channel only; not a draw-execution witness."
cpu-contrast	vertexKick->Submit->DrawPrimitive writes VRAM synchronously; Flush/Sync no-ops	gs_frontend.cpp / gs_cpu_backend.cpp	gs_frontend.cpp:1943-1998; gs_cpu_backend.cpp:1466-1501	"tap.tsv pixel row: tap0 63353341 at 0x000bae74, dst dc302f3b->dc353341 at 0x0019ae38"	n/a (reference side)	"CPU single-pixel fact only; no GPU cause."
pre-write-control	marker259 frame precedes packet5470	capture scan	"marker259 offset 6673264 < packet5470 offset 6673427"	tick259 PPM (pre-write)	no	"Tick259 pixel differs by construction; not a later overwrite."
confounder	packets 5471..10471 (5001) before marker300; ..10593 (5123) before marker301	capture scan	"marker packets-seen 5470->10472->10594; 121x tick259 + 122/tick 260-299"	n/a	n/a	"Any marker mismatch is consistent with any of the 5001 packets/records, not packet5470 alone."
