stage	file_line	object_bytes	producer_consumer	clock_or_order	observable	limit
capture-request	ps2_gs_parallel_backend.cpp:372-378 (fork 0678dd9)	env PS2X_N8D7F_SELECTED_CAPTURE + PS2X_N8D5_TILE_CAPTURE	Present() sets vsync.capture_selected_input; GSRenderer::vsync consumes	request.vsyncTick == 2050 only; phase = tick & 1	[n8d7f] tick=... status=...; [n8d5b] alignment	only present tick 2050; no GS-draw clock exposed; env must be "1"
raw-vram-snapshot	parallel-gs/gs/gs_renderer.cpp:4806-4820 (copy 4816)	4194304 (4 MiB) selected_vram_staging	producer buffers.gpu -> consumer host map	enqueued on direct_cmd BEFORE circuit1 draw (4834); barriers COMPUTE|TRANSFER_WRITE->TRANSFER_READ then TRANSFER_READ->FRAGMENT_SHADER_READ	none on Android (only Apple SHA)	barrier excludes COLOR_ATTACHMENT_OUTPUT writes; snapshot is of buffers.gpu at that instant
gpu-circuit1-draw	gs_renderer.cpp:4834; sample_crtc_circuit 4262-4318; sample_circuit.frag:108-115	512x224 RGBA circuit1 image	shader reads buffers.gpu at swizzle_PS2(fbp*PGS_BLOCKS_PER_PAGE, fbw, PSM)	after raw snapshot, before circuit1 readback copy	[n8d6a] stage=circuit1 ... active=	shares swizzle_PS2 with CPU decode; not independent of the address algorithm
circuit1-readback-copy	gs_renderer.cpp:5054-5077 (copy 5067)	458752 (512*224*4) circuit1_staging	producer circuit1 image -> consumer host map	after circuit1 barrier to READ_ONLY (5050-5053); barrier TRANSFER_WRITE->HOST_READ	[n8d7f] circuit tiles=448 occupied= active=	raw-circuit early return at 4990-5031 skips this site; only reached on the merged path
completion-visibility	ps2_gs_parallel_backend.cpp:531-534; gs_renderer.cpp:5354	-	producer direct_cmd + backend cmd -> consumer map_host_buffer	flush_submit(0) submits direct_cmd; backend submit + m_device->wait_idle()	host map non-null	vkDeviceWaitIdle is a full-device stall; maps only after it returns
raw-bytes-mapped	ps2_gs_parallel_backend.cpp:553-554	4194304 selected_vram_staging	producer selected_vram_staging -> consumer selectedDecode / selectedSha256	host-side after wait_idle	pointer only; vram_sha256 is Apple-only	no Android raw-byte census; earliest host-visible raw VRAM bytes
cpu-decode	ps2_gs_parallel_backend.cpp:98-128 (base 103; vram_readback 110-125); gs_util.hpp:50-110	458752 decoded RGBA	producer vram bytes -> consumer selectedTileCounts	host-side loop y=0..223; sy=dby+phase+y*stride; x+dbx; swizzle_PS2	[n8d7f] input tiles=448 ... + input_sha256 (Apple)	same swizzle_PS2 and same fbp*PGS_BLOCKS_PER_PAGE base as the GPU shader; PSM branches limited to the gate set
input-tile-census	ps2_gs_parallel_backend.cpp:62-79, 570	448 uint16 counts (896 B packed)	producer decoded RGBA -> consumer selectedLogTiles	host-side; 16x16 tile, threshold max(r,g,b)>=32	[n8d7f] input tiles=448 occupied=... active=	threshold/tile definition only; N8D7I "input" = this census, NOT raw bytes
gpu-stage-census	ps2_gs_parallel_backend.cpp:417-420, 468-511, 572-578; shaders/n8d5_tile.comp	(1+448)*4 counts buffer	producer tile shader on shot.circuit1 -> consumer host	compute dispatch + COMPUTE_WRITE->HOST_READ barrier before final copy	[n8d6a] stage=circuit1 ... active=	reads the GPU circuit1 image, not the merged final; control checkerboard validates only shader/census
circuit-cpu-census	ps2_gs_parallel_backend.cpp:555-556, 571	458752 circuit1_staging	producer GPU circuit1 image copy -> consumer selectedTileCounts	host-side after map	[n8d7f] circuit tiles=448 ...	CPU-vs-GPU of the same image; validates the census, not the source bytes
psm-fbw-phase-stride	gs_renderer.cpp:4779-4804; ps2_gs_parallel_backend.cpp:103; sample_circuit.frag:108-115; gs_util.hpp:59-66	metadata (fbp/fbw/psm/dbx/dby/phase/stride/mask)	producer priv.dispfb1 + compute_circuit_rect -> consumer push constants + CPU decode	metadata recorded before the raw copy; same values on both paths	[n8d7f] fbp=.. fbw=.. psm=.. phase=.. stride=..	psm=1 is PSMCT24 (not PSMCT32); supported_psm gate at 4793-4797
raw-sha	ps2_gs_parallel_backend.cpp:45-60, 579-583	4 MiB digest	producer vram -> consumer log	host-side	[n8d7f] vram_sha256=	returns "unavailable" on Android (line 57); the only raw-VRAM output, and it is not a pixel census
