stage	file_line	packet_or_tick	source_or_dest	observable	hook_cost	uncertainty
packet-seam	ps2xTest/src/ps2_gs_replay_tests.cpp:529-541; ps2xRuntime/src/lib/gs/gs_frontend.cpp:929-950	tick600 p47176 path2; tick699 p59894 path2	source=capture row + paths.txt true path; dest=GS::processGIFPacket (tick/index/path latched :947-949; GB7B context set :532 before call :541)	per-packet (tick; submit-index; true path; byte FNV) entry	1 context store per packet; exists in GB7B	true path needs paths.txt join (known embedded-path defect); GB7B hook logs no byte FNV, reuse pklog/X5 index for it
draw-entry	ps2xRuntime/src/lib/gs/gs_cpu_backend.cpp:715-720; :997-1000	p47176; p59894	dest=Submit:720 -> DrawPrimitive -> NoteGb7bCandidate:999-1000	batch prim/state + clipped rect; OFF path is one branch per batch, render byte-identical	1 branch per batch OFF; 1 row per batch ON	no intra-packet batch sequence in Gb7bPacketContext (4 sprites share p47176); add a per-packet batch counter
sprite-rect-C1	ps2xRuntime/src/lib/gs/gs_cpu_backend.cpp:1437-1473	tick600 p47176	dest=fbp0 rects (343,378)-(350,387) + 3 siblings (352,381)-(358,387); (382,381)-(390,387); (401,378)-(407,387)	XYOFFSET-subtracted (:1444-1450), scissor-clipped (:1470-1473) exact rect + UV endpoints u0f/v0f/u1f/v1f (:1487-1503)	integer arithmetic per batch, no VRAM traffic	rect is the draw set, not the write set: TEST=0x31143 / ALPHA=0x44 / scissor may discard pixels; log per-pixel pass/fail
texture-sample-C1	ps2xRuntime/src/lib/gs/gs_cpu_backend.cpp:1333-1366; :1385; :403-437; :1319	p47176	source=T4 tbp0=11017 tbw=8 via ReadVramUnlocked:1366; CLUT cbp=11016 via LookupCLUT:1385	(sampleU,sampleV) -> T4 nibble -> resolveClutIndex (:403-437; T4 CSM1 base=(csa&0xF)<<4) -> GSMem::ReadCT32 (:1319) -> RGBA; CLAMP=0x5 wrap (:1363-1364)	1 extra ReadVramUnlocked per traced pixel, read-only	linearFilter bit and T4 nibble parity live in PSM handler table (:631); log filter bit + nibble + CLUT index with each sample
raster-write-C1	ps2xRuntime/src/lib/gs/gs_cpu_backend.cpp:1137-1181; :1294; ps2xRuntime/include/runtime/gs/ps2_gs_common.h:42-45	p47176	dest=fbp0 (block = fbp<<5 = 0) pixel (x,y)	old value = ReadVramUnlocked:1181 pre-write; new value = packed pixel at :1294 pre-write; TEST classify :1162, fb read gate frmw :1175	1 read + 1 row per traced pixel	ABE blending mixes old into new, so old/new alone underdetermine the glyph input; TEST fail writes nothing; log TEST/ALPHA outcome + blend inputs (as,bs,cs,ds,fix)
vram-map	ps2xRuntime/include/runtime/gs/ps2_gs_common.h:42-45; ps2xRuntime/src/lib/gs/gs_cpu_backend.cpp:745-763	none (structural)	fbp0->block0; tbp0=11017; cbp=11016; fbp112->block3584	framePageBaseToBlock pure function; Unlocked R/W dispatch m_readVramFuncs/m_writeVramFuncs[psm&0x3F]	none (pure functions)	none structural; T4 nibble unpack + CLUT swizzle inside PSM handlers, already covered by texture-sample row
display-blit	ps2xRuntime/src/lib/gs/gs_cpu_backend.cpp:1437-1533 (sample :1528); :1181; :1294	tick600 p47117 (pre-glyph exemplar, x319-350); next same-column blit after p47176 = lookup in private candidates-full.tsv; tick601 p47240 covers x383-414 only	source=CT32 tbp0=0 (block0, the glyph page) -> dest=fbp112 full-height column	per-pixel srcUV->dst(x,y) at :1528 plus old/new at :1181/:1294 on the blit	same per-pixel cost as texture-sample + raster-write rows	exact following-blit index not in the 16-row table (p47117 precedes the glyph draw); the blit UV mapping decides whether the C1 pixel is actually resampled; resolve index from the full TSV, do not guess
present-crop	ps2xRuntime/src/lib/gs/gs_cpu_backend.cpp:2176-2215; ps2xTest/src/ps2_gs_replay_tests.cpp:191-218; :522; :571-595	ticks 600-601 and 699-700	source=fbp112 via CopyFrameToHostRgba:2215 (ReadVramUnlocked:2115) -> lower crop (340,360)-(430,420) hash	readGb5Crops lower hash + changedPixels per packet (GB5B pattern; gb5bRaw aliases live vram :400, so before/after are true live reads)	1 Present per packet in window (~85 packets/tick)	Present cost dominates; bound to the two windows only; crop hash is RGB FNV, alpha excluded by cropRgb
glyph-C2-rect-write	tick600 rows sprite-rect-C1 / texture-sample-C1 / raster-write-C1, same sites	tick699 p59894	dest=fbp0 rects (393,405)-(398,411); (400,405)-(405,411); texel4 825eecf6/67fec805	same per-pixel observables as C1 (rect, texel chain, old/new, TEST/ALPHA outcome)	same per-pixel cost	same uncertainties as C1, plus harness stops after the marker-700 sample (:779) and may cut the following same-column blit; extend stop to first post-59894 blit covering x393-405 or the tick-701 sample
null-control	ps2xTest/src/ps2_gs_replay_tests.cpp:711-779; GB7B REPORT section 3	tick 300/600/700 markers	pinned stream a6f75fb3 (capture) + run/gb4p4.paths.txt, not copied	OFF replay byte-identical: lower FNV 02bfd499 at 600, 032a9954 at 700; GB4_FRAME pmode=ff21 dispfb1=9070 fbp112	none (reuse GB7B receipts)	none; any ON/OFF hash mismatch voids the probe run
