tick	packet	path	batch	src_xy	dst_xy	old	new	texel	roi_diff	crop_diff	classification
600	47176	2	39	-	-	-	-	rect=(343,378)-(350,387) fst=0 tme=1 frame=fbp0,fbw8,psm0 tex=tbp0-11017,tbw8,psm20,tw9,th8,tcc1,tfx0,cbp11016,cpsm0,csm0,csa0 test=0x31143 alpha=0x44	-	-	batch-c1
600	47176	2	40	-	-	-	-	rect=(352,381)-(358,387) fst=0 tme=1 frame=fbp0,fbw8,psm0 tex=tbp0-11017,tbw8,psm20,tw9,th8,tcc1,tfx0,cbp11016,cpsm0,csm0,csa0 test=0x31143 alpha=0x44	-	-	batch-c1
600	47176	2	41	-	-	-	-	rect=(361,381)-(366,387) fst=0 tme=1 frame=fbp0,fbw8,psm0 tex=tbp0-11017,tbw8,psm20,tw9,th8,tcc1,tfx0,cbp11016,cpsm0,csm0,csa0 test=0x31143 alpha=0x44	-	-	batch-c1
600	47176	2	42	-	-	-	-	rect=(369,381)-(375,387) fst=0 tme=1 frame=fbp0,fbw8,psm0 tex=tbp0-11017,tbw8,psm20,tw9,th8,tcc1,tfx0,cbp11016,cpsm0,csm0,csa0 test=0x31143 alpha=0x44	-	-	batch-c1
600	47176	2	43	-	-	-	-	rect=(378,381)-(380,387) fst=0 tme=1 frame=fbp0,fbw8,psm0 tex=tbp0-11017,tbw8,psm20,tw9,th8,tcc1,tfx0,cbp11016,cpsm0,csm0,csa0 test=0x31143 alpha=0x44	-	-	batch-c1
600	47176	2	44	-	-	-	-	rect=(382,381)-(390,387) fst=0 tme=1 frame=fbp0,fbw8,psm0 tex=tbp0-11017,tbw8,psm20,tw9,th8,tcc1,tfx0,cbp11016,cpsm0,csm0,csa0 test=0x31143 alpha=0x44	-	-	batch-c1
600	47176	2	45	-	-	-	-	rect=(391,381)-(398,387) fst=0 tme=1 frame=fbp0,fbw8,psm0 tex=tbp0-11017,tbw8,psm20,tw9,th8,tcc1,tfx0,cbp11016,cpsm0,csm0,csa0 test=0x31143 alpha=0x44	-	-	batch-c1
600	47176	2	46	-	-	-	-	rect=(401,378)-(407,387) fst=0 tme=1 frame=fbp0,fbw8,psm0 tex=tbp0-11017,tbw8,psm20,tw9,th8,tcc1,tfx0,cbp11016,cpsm0,csm0,csa0 test=0x31143 alpha=0x44	-	-	batch-c1
600	47176	2	39	-	-	-	-	-	changed=80 bbox=(343,378)-(350,387) coords=(343,378);(344,378);(345,378);(346,378);(347,378);(348,378);(349,378);(350,378)	-	roi-changed
600	47176	2	40	-	-	-	-	-	changed=49 bbox=(352,381)-(358,387) coords=(352,381);(353,381);(354,381);(355,381);(356,381);(357,381);(358,381);(352,382)	-	roi-changed
600	47176	2	41	-	-	-	-	-	changed=42 bbox=(361,381)-(366,387) coords=(361,381);(362,381);(363,381);(364,381);(365,381);(366,381);(361,382);(362,382)	-	roi-changed
600	47176	2	42	-	-	-	-	-	changed=49 bbox=(369,381)-(375,387) coords=(369,381);(370,381);(371,381);(372,381);(373,381);(374,381);(375,381);(369,382)	-	roi-changed
600	47176	2	43	-	-	-	-	-	changed=21 bbox=(378,381)-(380,387) coords=(378,381);(379,381);(380,381);(378,382);(379,382);(380,382);(378,383);(379,383)	-	roi-changed
600	47176	2	44	-	-	-	-	-	changed=63 bbox=(382,381)-(390,387) coords=(382,381);(383,381);(384,381);(385,381);(386,381);(387,381);(388,381);(389,381)	-	roi-changed
600	47176	2	45	-	-	-	-	-	changed=56 bbox=(391,381)-(398,387) coords=(391,381);(392,381);(393,381);(394,381);(395,381);(396,381);(397,381);(398,381)	-	roi-changed
600	47176	2	46	-	-	-	-	-	changed=70 bbox=(401,378)-(407,387) coords=(401,378);(402,378);(403,378);(404,378);(405,378);(406,378);(407,378);(401,379)	-	roi-changed
600	47176	2	39	(281,18)	(343,378)	50ddd1be	63353341	fst=0 lin=1 wrap=(281,18) raw=0000000f nibble=f clut=23 rgba=63808080 test=0x31143 alpha=0x44	-	-	traced-write;rgba-in=(29,5,4,99)
600	47176	2	39	(297,18)	(350,378)	50e0d4c0	00e0d4c0	fst=0 lin=1 wrap=(297,18) raw=00000000 nibble=0 clut=0 rgba=00808080 test=0x31143 alpha=0x44	-	-	traced-write;rgba-in=(29,5,4,0)
600	47176	2	42	(491,2)	(369,381)	52e0d5c2	1faaa29a	fst=0 lin=1 wrap=(491,2) raw=00000009 nibble=9 clut=17 rgba=1f808080 test=0x31143 alpha=0x44	-	-	traced-write;rgba-in=(29,5,4,31)
600	47176	2	42	(505,2)	(375,381)	52e4d8c2	3489827e	fst=0 lin=1 wrap=(505,2) raw=0000000f nibble=f clut=23 rgba=34808080 test=0x31143 alpha=0x44	-	-	traced-write;rgba-in=(29,5,4,52)
600	47176	2	44	(377,2)	(382,381)	52e5d9c3	70201f31	fst=0 lin=1 wrap=(377,2) raw=0000000f nibble=f clut=23 rgba=70808080 test=0x31143 alpha=0x44	-	-	traced-write;rgba-in=(29,5,4,112)
600	47176	2	44	(393,2)	(390,381)	52e1d6c2	701f1f31	fst=0 lin=1 wrap=(393,2) raw=0000000f nibble=f clut=23 rgba=70808080 test=0x31143 alpha=0x44	-	-	traced-write;rgba-in=(29,5,4,112)
600	47176	2	46	(483,39)	(401,378)	50ece1ce	00ece1ce	fst=0 lin=1 wrap=(483,39) raw=00000000 nibble=0 clut=0 rgba=00808080 test=0x31143 alpha=0x44	-	-	traced-write;rgba-in=(29,5,4,0)
600	47176	2	46	(497,39)	(407,378)	50ede2ce	574e4b55	fst=0 lin=1 wrap=(497,39) raw=0000000f nibble=f clut=23 rgba=57808080 test=0x31143 alpha=0x44	-	-	traced-write;rgba-in=(29,5,4,87)
601	47240	3	10	-	-	-	-	rect=(319,0)-(350,445) fst=1 tme=1 frame=fbp112,fbw8,psm1 tex=tbp0-0,tbw8,psm0,tw10,th9,tcc0,tfx0,cbp0,cpsm0,csm0,csa0 test=0x30000 alpha=0x8000000064	-	lower 02bfd499->02bfd499 changed=0	batch-carrier
601	47240	3	12	-	-	-	-	rect=(383,0)-(414,445) fst=1 tme=1 frame=fbp112,fbw8,psm1 tex=tbp0-0,tbw8,psm0,tw10,th9,tcc0,tfx0,cbp0,cpsm0,csm0,csa0 test=0x30000 alpha=0x8000000064	-	lower 02bfd499->02bfd499 changed=0	batch-carrier
601	47240	3	10	(341,375)	(340,374)	00dbd0bc	00dbd0bc	fst=1 lin=1 wrap=(341,375) raw=4edbd0bc rgba=4edbd0bc test=0x30000 alpha=0x8000000064	-	lower 02bfd499->02bfd499 changed=0	write-same-value-unknown;rgba-in=(188,208,219,128)
