file,size_bytes,md5,module_name,module_version,entry_hex,origin,file_type,import_libs,import_count,export_lib,export_version,export_slots,rpc_server,rpc_client,cmd_handlers,libsd_funcs
SNDDRV.IRX,96016,a874dc35d6c5423aa47ab3cc05f87acb,SND_Library_EE_Driver,8.3,0x9244,EA,ELF32-MIPS-I-IOP,libsd:12;sysmem:3;intrman:2;loadcore:1;sifcmd:9;sifman:1;sysclib:4;thbase:9,41,,,,0x534E44@0x9310->0x8bf0,,cid 0@0x8ff8->0x8ba0,4;5;6;7;9;10;11;17;18;20;23;26
SDRDRV.IRX,8065,50d7187c61f0c1a1cd754ef9399602c4,sdr_driver,4.1,0x0,Sony,ELF32-MIPS-I-IOP,libsd:26;intrman:2;loadcore:1;sifcmd:6;stdio:1;sysclib:3;thbase:8,47,sdrdrv,1.1,6 slots live 1-5,0x80000701@0x3cc->0x410,bind 0x80000704@0xe34;call fno=0@0xce0,,4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;23;24;25;26;27;30;31;32;33
MSIFRPC.IRX,7377,a5ccf7db41f9239f81502564b8fed272,IOP_MSIF_rpc_interface,2.5,0x0,Sony,ELF32-MIPS-I-IOP,sysmem:3;loadcore:1;intrman:2;stdio:1;sifcmd:4;sifman:1;thbase:10;thmsgbx:3,25,msifrpc,1.1,22 slots live 4+17,,,0x80000019@0x100->0x298;0x8000001a@0x118->0x510;0x8000001d@0x130->0x3c4,
LIBSD.IRX,28557,696cebe67c2ee3a1d3e8b67137b1ce95,Sound_Device_Library,3.3,0xb0,Sony,ELF32-MIPS-I-IOP,intrman:7;loadcore:2;sifman:2;sysclib:1;thevent:7,19,libsd,1.5,34 slots 0-33 all live,,,,
PADMAN.IRX,43813,1cd17027460197a5903f89bce1c5c10b,padman,4.5,0x3178,Sony,ELF32-MIPS-I-IOP,sysmem:1;loadcore:1;intrman:2;stdio:1;sio2man:7;thbase:7;thevent:6;sifman:4;sifcmd:4;vblank:2;sysclib:3,38,padman,2.3,18 slots all live,0x80000100@0x7604->0x7414;0x80000101@0x76c8->0x7624,,,
DEV9.IRX,13197,f19372fc914d7e6be7a6808be08c2993,dev9,2.4,0x2e8,Sony,ELF32-MIPS-I-IOP,stdio:1;loadcore:2;thbase:1;thsemap:3;ioman:2;dmacman:2;intrman:5,16,dev9,1.7,14 slots 0-13 all live,,,,
DRTYSCKF.IRX,102751,2eca06c18e0604a324b257c7f223dc8d,Dirtysock,1.1,0xa4,EA,ELF32-MIPS-I-IOP,inet:13;netcnf:3;inetctl:5;sysmem:2;intrman:2;sifcmd:3;sifman:2;stdio:1;sysclib:13;thbase:10;thsemap:5,59,,,,,,cid 1@0x1998->0x17b8,
INET.IRX,141181,d70d29e05694d2d1f90b4c61568c5f1c,INET_service,1.92,0x11ebc,Sony,ELF32-MIPS-I-IOP,sysmem:2;intrman:2;loadcore:2;stdio:1;sysclib:9;thbase:13;thevent:5;thsemap:4;cdvdman:1;modload:1,40,inet+netdev,1.1+1.1,47 slots live 30;24 slots live 16,,,,
INETCTL.IRX,24781,537821cab9969a21c41ff4f35a0d4ca0,INET_control,1.92,0x3aac,Sony,ELF32-MIPS-I-IOP,inet:12;netcnf:3;loadcore:2;stdio:1;sysclib:8;thbase:9;thevent:5;thsemap:4;sysmem:2;intrman:2;modload:1,49,inetctl,1.1,20 slots live 12,,,,
LGAUD.IRX,45109,dbaee103500b9fc7ee81c186ba18629a,lgAud,1.8,0x120c,Logitech,ELF32-MIPS-I-IOP,usbd:9;sysmem:2;intrman:2;loadcore:2;modload:2;sifcmd:4;stdio:1;sysclib:4;thbase:4;thsemap:4,34,lgaud,1.8,23 slots 0-22 all live,0x50494C42@0x171c->0x173c,,,
