26 files:
Name                                                                             URL Resources                   Size        Modification date
------------------------------------------------------------------------------   -----------------------------   ---------   -----------------
Analytics-2026-09-21-200011.ips.ca.synced                                        Writable, Readable              791 KB      9/21/26, 8:00 PM 
Assistant                                                                        Writable, Readable, Directory   96 bytes    9/20/26, 2:00 AM 
DiagnosticLogs                                                                   Writable, Readable, Directory   96 bytes    3/6/26, 7:38 AM  
JetsamEvent-2026-09-21-205244.ips                                                Writable, Readable              324 KB      9/21/26, 8:52 PM 
Retired                                                                          Writable, Readable, Directory   6 KB        9/22/26, 2:13 AM 
SFA-CloudServices.json-2026-09-21-200055.ips                                     Writable, Readable              1 KB        9/21/26, 8:00 PM 
SFA-CloudServices.json-2026-09-22-080119.ips                                     Writable, Readable              2 KB        9/22/26, 8:01 AM 
SFA-ckks.json-2026-09-21-200056.000.ips                                          Writable, Readable              17 KB       9/21/26, 8:00 PM 
SFA-ckks.json-2026-09-22-080120.000.ips                                          Writable, Readable              17 KB       9/22/26, 8:01 AM 
SFA-local.json-2026-09-21-200057.000.ips                                         Writable, Readable              466 bytes   9/21/26, 8:00 PM 
SFA-local.json-2026-09-22-080120.0004.ips                                        Writable, Readable              466 bytes   9/22/26, 8:01 AM 
SFA-networking.json-2026-09-21-200055.000.ips                                    Writable, Readable              556 bytes   9/21/26, 8:00 PM 
SFA-networking.json-2026-09-22-080119.000.ips                                    Writable, Readable              556 bytes   9/22/26, 8:01 AM 
SFA-pcs.json-2026-09-21-200057.ips                                               Writable, Readable              1 KB        9/21/26, 8:00 PM 
SFA-pcs.json-2026-09-22-080120.0003.ips                                          Writable, Readable              1 KB        9/22/26, 8:01 AM 
SFA-sos.json-2026-09-21-200056.0002.ips                                          Writable, Readable              464 bytes   9/21/26, 8:00 PM 
SFA-sos.json-2026-09-22-080120.0002.ips                                          Writable, Readable              464 bytes   9/22/26, 8:01 AM 
SFA-swtransparency.json-2026-09-21-200054.ips                                    Writable, Readable              782 bytes   9/21/26, 8:00 PM 
SFA-swtransparency.json-2026-09-22-080118.ips                                    Writable, Readable              550 bytes   9/22/26, 8:01 AM 
SFA-transparency.json-2026-09-21-200056.ips                                      Writable, Readable              8 KB        9/21/26, 8:00 PM 
SFA-transparency.json-2026-09-22-080120.ips                                      Writable, Readable              7 KB        9/22/26, 8:01 AM 
SiriSearchFeedback-2026-09-21-213037.ips                                         Writable, Readable              339 bytes   9/21/26, 9:30 PM 
SiriSearchFeedback-2026-09-22-013109.ips                                         Writable, Readable              339 bytes   9/22/26, 1:31 AM 
SiriSearchFeedback-2026-09-22-063100.ips                                         Writable, Readable              339 bytes   9/22/26, 6:31 AM 
ota_patch.txt                                                                    Writable, Readable              29 KB       9/16/26, 7:29 PM 
proactive_event_tracker-com_apple_Trial-com_apple_triald-2026-09-22-073056.ips   Writable, Readable              21 KB       9/22/26, 7:30 AM 
